,tribute_total,sum,date,action
75,245921.74910840436,35.15404172308218,2022-05-25T00:00:00+00:00,Sell
76,245921.74910840436,59.2,2022-05-26T00:00:00+00:00,Buy
77,245921.74910840436,147.34760194578922,2022-05-26T00:00:00+00:00,Sell
78,245921.74910840436,300.5726440756042,2022-05-27T00:00:00+00:00,Sell
79,245921.74910840436,23.02624,2022-05-28T00:00:00+00:00,Buy
80,245921.74910840436,51.6398779146556,2022-05-28T00:00:00+00:00,Sell
81,245921.74910840436,6.664565263525239,2022-05-29T00:00:00+00:00,Sell
82,245921.74910840436,131.14051698281466,2022-06-02T00:00:00+00:00,Sell
83,245921.74910840436,117.84575434092741,2022-06-03T00:00:00+00:00,Sell
84,245921.74910840436,4.296091466603115,2022-06-04T00:00:00+00:00,Sell
85,245921.74910840436,7337.958226307859,2022-06-06T00:00:00+00:00,Sell
86,245921.74910840436,533.2739764280752,2022-06-10T00:00:00+00:00,Sell
87,245921.74910840436,11.23664107864971,2022-06-11T00:00:00+00:00,Sell
88,245921.74910840436,60.52215523585132,2022-06-12T00:00:00+00:00,Sell
89,245921.74910840436,499.21564080864886,2022-06-13T00:00:00+00:00,Sell
90,245921.74910840436,4.30458,2022-06-14T00:00:00+00:00,Buy
91,245921.74910840436,23.368371808387938,2022-06-14T00:00:00+00:00,Sell
92,245921.74910840436,157.52082777473743,2022-06-15T00:00:00+00:00,Sell
93,245921.74910840436,73.10930565356038,2022-06-16T00:00:00+00:00,Sell
94,245921.74910840436,92.10310048964229,2022-06-17T00:00:00+00:00,Sell
95,245921.74910840436,306.1616326110507,2022-06-18T00:00:00+00:00,Sell
96,245921.74910840436,9.856116413943669,2022-06-23T00:00:00+00:00,Sell
97,245921.74910840436,0.8330046679862041,2022-06-24T00:00:00+00:00,Sell
98,245921.74910840436,19.014861580470818,2022-06-25T00:00:00+00:00,Sell
99,245921.74910840436,14.11972,2022-06-26T00:00:00+00:00,Buy
100,245921.74910840436,43.628371214798946,2022-06-26T00:00:00+00:00,Sell
101,245921.74910840436,9.977939722346001,2022-06-27T00:00:00+00:00,Sell
102,245921.74910840436,205.9456299797806,2022-06-30T00:00:00+00:00,Sell
103,245921.74910840436,1.6743348760208532,2022-07-01T00:00:00+00:00,Sell
