team,id,status,name,doneAt,token,amount,username,payment_status,tx_hash,datetime
Twitter T.E.A.M.,5815f24a-9b0c-4a2d-b51c-53ed4c79094e,DONE,April Week 3,2022-05-16T16:13:20.324Z,WXDAI,47.5,EFRA,CONFIRMED,0xaed6a4f84b8bd690d243ddf4ad472e9b857fbdaeff078705c40845b0be36ee73,2022-05-16
Twitter T.E.A.M.,8191e318-3096-4575-b817-551c956f25af,DONE,April Week 2,2022-04-25T16:11:11.869Z,WXDAI,114.0,EFRA,CONFIRMED,0x6a1dbde5b6e79a85790ad8c8a3b71fc3c2a9fe090db20d266272266710192d64,2022-04-26
Twitter T.E.A.M.,e30e4fbd-6ec1-4c32-9ac0-b5aeb7b16c2f,DONE,April Week 2,2022-04-25T16:11:09.240Z,WXDAI,38.0,angieberryberry,CONFIRMED,0x6a1dbde5b6e79a85790ad8c8a3b71fc3c2a9fe090db20d266272266710192d64,2022-04-26
Twitter T.E.A.M.,76a90430-136d-47a1-b755-4da2a9f7aa36,DONE,April Week 2,2022-04-25T16:09:59.704Z,WXDAI,114.0,acidlazzer,CONFIRMED,0x6a1dbde5b6e79a85790ad8c8a3b71fc3c2a9fe090db20d266272266710192d64,2022-04-26
Twitter T.E.A.M.,86f9bc95-f0ea-4b0c-bfd5-6225b2cee962,DONE,April 4 - April 10,2022-04-11T16:13:54.478Z,WXDAI,104.5,EFRA,CONFIRMED,0x60c711fe6dbc476cf18d6a457e5c0895e34ff66fdd2efb130d87e1cd6ed252e8,2022-04-11
Twitter T.E.A.M.,7fb19acf-8dd7-4c87-8678-4df3c28c40df,DONE,Tweet drafting March 28 - April 4,2022-04-11T16:13:53.523Z,WXDAI,28.5,chuygarcia,CONFIRMED,0x60c711fe6dbc476cf18d6a457e5c0895e34ff66fdd2efb130d87e1cd6ed252e8,2022-04-11
Twitter T.E.A.M.,079cd6d3-6b38-4346-9c17-dc93745d73a0,DONE,March Week 4,2022-04-04T16:06:34.377Z,WXDAI,161.5,angieberryberry,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,5974c4c0-059a-4243-941a-6d98c4a68a51,DONE,Mt Manu - Retroactive Bonus,2022-03-28T21:48:42.289Z,WXDAI,250.0,Mount Manu,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,3109bc72-7bd7-4768-a4eb-277f12f520a5,DONE,Juank - Retroactive Bonus,2022-03-28T21:48:41.070Z,WXDAI,250.0,Juankbell,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,6a39cfa5-4d5d-4eed-b0fd-a2cec51f1b3f,DONE,March Week 5,2022-04-04T16:06:30.065Z,WXDAI,161.5,EFRA,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,9ae79587-e132-4544-acdd-1229d6bf59ce,DONE,March Week 4,2022-04-04T16:05:14.524Z,WXDAI,161.5,EFRA,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,6164dc8e-fdc8-4822-8bde-8e74f772c12a,DONE,Ivy - Retroactive Bonus,2022-03-28T21:48:39.710Z,WXDAI,250.0,iviangita,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,eddf0ed1-abf6-4c5f-9338-df0ae8ed23fa,DONE,April Week 3,2022-04-25T16:09:58.267Z,WXDAI,171.0,acidlazzer,CONFIRMED,0x6a1dbde5b6e79a85790ad8c8a3b71fc3c2a9fe090db20d266272266710192d64,2022-04-26
Twitter T.E.A.M.,f72e8831-8eec-473b-ae26-364ef185a268,DONE,April Week 1,2022-04-11T16:13:53.723Z,WXDAI,47.5,acidlazzer,CONFIRMED,0x60c711fe6dbc476cf18d6a457e5c0895e34ff66fdd2efb130d87e1cd6ed252e8,2022-04-11
Twitter T.E.A.M.,d5e5cd30-ccf0-4040-8b34-5fb149ac64e8,DONE,March Week 3,2022-04-04T16:05:09.154Z,WXDAI,190.0,acidlazzer,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,5afd7a3c-8d49-4898-9dd3-40ee564fb33a,DONE,March Week 2,2022-04-04T16:05:07.208Z,WXDAI,190.0,acidlazzer,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
Twitter T.E.A.M.,099338fd-4a88-4ef9-a288-5077200ee98a,DONE,March Week 1,2022-03-08T21:16:23.596Z,WXDAI,161.5,acidlazzer,CONFIRMED,0xdff6daa7178d6c0afbeaf7b865846ead0d0bffa0f85fc2e0225ae32cc70507e5,2022-04-04
